dataset,task,algo,buildtime,querytime,params,file,software,ram-process-max,ram-system-max,cpu-process-max,cpu-system-max,process-wallclock,recall
llama-eval,task2,neyshabur-srebro+bruteforce,0.10020637512207031,1.6864254474639893,neyshabur-srebro+bruteforce,task-2-llama/2026-06-29-10-10-05/output/neyshabur-srebro+bruteforce.h5,"{""display_name"": ""late-shark"", ""command"": ""/app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""wh-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""b358ef58eedeb376ad06b7524e59d12fe3140f59"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/zevahcle/sisap26-wh.git"", ""href"": ""https://github.com/zevahcle/sisap26-wh/tree/b358ef58eedeb376ad06b7524e59d12fe3140f59""}], ""public_image_name"": null, ""mount_config"": null}",5722,335723,232,14,2677 ms,1.0
llama-eval,task2,faissHNSW,213.82011437416077,0.5969135761260986,"index=(HNSW128,efConstruction=500),query=(efSearch=250)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=250).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.8545333333333334
llama-eval,task2,faissHNSW,213.82011437416077,0.9971764087677002,"index=(HNSW128,efConstruction=500),query=(efSearch=400)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=400).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.9154333333333333
llama-eval,task2,faissHNSW,213.82011437416077,0.5926692485809326,"index=(HNSW128,efConstruction=500),query=(efSearch=200)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=200).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.8230333333333333
llama-eval,task2,faissHNSW,213.82011437416077,0.7978024482727051,"index=(HNSW128,efConstruction=500),query=(efSearch=300)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=300).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.8806666666666667
llama-eval,task2,faissHNSW,213.82011437416077,0.3609790802001953,"index=(HNSW128,efConstruction=500),query=(efSearch=100)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=100).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.6914666666666667
llama-eval,task2,faissHNSW,213.82011437416077,0.8965353965759277,"index=(HNSW128,efConstruction=500),query=(efSearch=350)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=350).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.8990333333333334
llama-eval,task2,faissHNSW,213.82011437416077,0.30391430854797363,"index=(HNSW128,efConstruction=500),query=(efSearch=150)","task-2-llama/2026-06-29-09-38-17/output/index=(HNSW128,efConstruction=500),query=(efSearch=150).h5","{""display_name"": ""brave-source"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""dream-team"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""9e5f677626ccc975d161787a6ae6e372fefceb1a"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/Coda-Research-Group/sisap26-dream-team"", ""href"": ""https://github.com/Coda-Research-Group/sisap26-dream-team/tree/9e5f677626ccc975d161787a6ae6e372fefceb1a""}], ""public_image_name"": null, ""mount_config"": null}",6279,335751,19,72,221373 ms,0.7692333333333333
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.586766405,"l=6,hash_bits=16,probes=500,patience=3,k=30,rotations=1",task-2-llama/2026-06-29-09-22-15/output/falconn_ouroboros_recall_guarantee_l_6_hash_bits_16_probes_500_patience_3_k_30_rotations_1_run_10_20260629_072149.h5,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,0.8472666666666666
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.587423764,"l=6,hash_bits=16,probes=450,patience=5,k=30,rotations=1",task-2-llama/2026-06-29-09-22-15/output/falconn_ouroboros_recall_guarantee_l_6_hash_bits_16_probes_450_patience_5_k_30_rotations_1_run_08_20260629_072138.h5,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,0.8372
